,Metabolites,Concentration,Group
0,X1.Methylnicotinamide,244,0
1,X1.Methylnicotinamide,245,0
2,X1.Methylnicotinamide,246,0
3,X1.Methylnicotinamide,247,0
4,X1.Methylnicotinamide,248,0
5,X1.Methylnicotinamide,249,0
6,X1.Methylnicotinamide,250,0
7,X1.Methylnicotinamide,251,0
8,X1.Methylnicotinamide,252,0
9,X1.Methylnicotinamide,253,0
10,X1.Methylnicotinamide,254,0
11,X1.Methylnicotinamide,255,0
12,X1.Methylnicotinamide,256,0
13,X1.Methylnicotinamide,257,0
14,X1.Methylnicotinamide,258,0
15,X1.Methylnicotinamide,259,0
16,X1.Methylnicotinamide,260,0
17,X1.Methylnicotinamide,261,0
18,X1.Methylnicotinamide,262,0
19,X1.Methylnicotinamide,263,0
20,X1.Methylnicotinamide,264,0
21,X1.Methylnicotinamide,265,0
22,X1.Methylnicotinamide,266,0
23,X1.Methylnicotinamide,267,0
24,X1.Methylnicotinamide,268,0
25,X1.Methylnicotinamide,269,0
26,X1.Methylnicotinamide,270,0
27,X1.Methylnicotinamide,271,0
28,X1.Methylnicotinamide,272,0
29,X1.Methylnicotinamide,273,0
30,X1.Methylnicotinamide,274,0
31,X1.Methylnicotinamide,275,0
32,X1.Methylnicotinamide,276,0
33,X1.Methylnicotinamide,277,0
34,X1.Methylnicotinamide,278,0
35,X1.Methylnicotinamide,279,0
36,X1.Methylnicotinamide,280,0
37,X1.Methylnicotinamide,281,0
38,X1.Methylnicotinamide,282,0
39,X1.Methylnicotinamide,283,0
40,X1.Methylnicotinamide,284,0
41,X1.Methylnicotinamide,285,0
42,X1.Methylnicotinamide,286,0
43,X1.Methylnicotinamide,287,0
44,X1.Methylnicotinamide,288,0
45,X1.Methylnicotinamide,289,0
46,X1.Methylnicotinamide,290,0
47,X1.Methylnicotinamide,291,0
48,X1.Methylnicotinamide,292,0
49,X1.Methylnicotinamide,293,0
50,X1.Methylnicotinamide,294,0
51,X1.Methylnicotinamide,295,0
52,X1.Methylnicotinamide,296,0
53,X1.Methylnicotinamide,297,0
54,X1.Methylnicotinamide,298,0
55,X2.Hydroxybutyrate,65,0
56,X2.Hydroxybutyrate,66,0
57,X2.Hydroxybutyrate,67,0
58,X2.Hydroxybutyrate,68,0
59,X2.Hydroxybutyrate,69,0
60,X2.Hydroxybutyrate,70,0
61,X2.Hydroxybutyrate,71,0
62,X2.Hydroxybutyrate,72,0
63,X2.Hydroxybutyrate,73,0
64,X2.Hydroxybutyrate,74,0
65,X2.Hydroxybutyrate,75,0
66,X2.Hydroxybutyrate,76,0
67,X2.Hydroxybutyrate,77,0
68,X2.Hydroxybutyrate,78,0
69,X2.Hydroxybutyrate,79,0
70,X2.Hydroxyisobutyrate,15,0
71,X2.Hydroxyisobutyrate,16,0
72,X2.Hydroxyisobutyrate,17,0
73,X2.Hydroxyisobutyrate,18,0
74,X2.Hydroxyisobutyrate,19,0
75,X2.Oxoisocaproate,1,0
76,X2.Phenylpropionate,10,0
77,X2.Phenylpropionate,11,0
78,X2.Phenylpropionate,12,0
79,X3.Hydroxyisovalerate,9,0
80,X3.Hydroxyisovalerate,10,0
81,X3.Hydroxyisovalerate,11,0
82,X3.Indoxylsulfate,19,0
83,X3.Indoxylsulfate,20,0
84,X3.Indoxylsulfate,21,0
85,X3.Indoxylsulfate,22,0
86,X3.Indoxylsulfate,23,0
87,X3.Methyl.2.oxovalerate,7,0
88,X3.Methyl.2.oxovalerate,8,0
89,X3.Methyl.2.oxovalerate,9,0
90,X4.Hydroxyphenylacetate,21,0
91,X4.Hydroxyphenylacetate,22,0
92,X4.Hydroxyphenylacetate,23,0
93,X4.Hydroxyphenylacetate,24,0
94,X4.Hydroxyphenylacetate,25,0
95,Acetate,42,0
96,Acetate,43,0
97,Acetate,44,0
98,Acetate,45,0
99,Acetate,46,0
100,Acetate,47,0
101,Acetate,48,0
102,Acetate,49,0
103,Acetate,50,0
104,Acetate,51,0
105,Acetate,52,0
106,Acetone,115,0
107,Acetone,116,0
108,Acetone,117,0
109,Acetone,118,0
110,Acetone,119,0
111,Acetone,120,0
112,Acetone,121,0
113,Acetone,122,0
114,Acetone,123,0
115,Acetone,124,0
116,Acetone,125,0
117,Acetone,126,0
118,Acetone,127,0
119,Acetone,128,0
120,Acetone,129,0
121,Acetone,130,0
122,Acetone,131,0
123,Acetone,132,0
124,Acetone,133,0
125,Acetone,134,0
126,Acetone,135,0
127,Acetone,136,0
128,Acetone,137,0
129,Acetone,138,0
130,Acetone,139,0
131,Acetone,140,0
132,Acetone,141,0
133,Alanine,42,0
134,Alanine,43,0
135,Alanine,44,0
136,Alanine,45,0
137,Alanine,46,0
138,Alanine,47,0
139,Alanine,48,0
140,Alanine,49,0
141,Alanine,50,0
142,Alanine,51,0
143,Alanine,52,0
144,Allantoin,157,0
145,Allantoin,158,0
146,Allantoin,159,0
147,Allantoin,160,0
148,Allantoin,161,0
149,Allantoin,162,0
150,Allantoin,163,0
151,Allantoin,164,0
152,Allantoin,165,0
153,Allantoin,166,0
154,Allantoin,167,0
155,Allantoin,168,0
156,Allantoin,169,0
157,Allantoin,170,0
158,Allantoin,171,0
159,Allantoin,172,0
160,Allantoin,173,0
161,Allantoin,174,0
162,Allantoin,175,0
163,Allantoin,176,0
164,Allantoin,177,0
165,Allantoin,178,0
166,Allantoin,179,0
167,Allantoin,180,0
168,Allantoin,181,0
169,Allantoin,182,0
170,Allantoin,183,0
171,Allantoin,184,0
